"metacell","cell_type","top1_gene","top1_lfp","top2_gene","top2_lfp","color"
"M2025.45","T","KLRB1",3.79669142105944,"IL7R",3.14866903548306,"#FFFF00"
"M2026.46","T","TRAC",4.64377618802605,"CD3D",4.28363945331804,"#FFFF00"
"M2027.22","T","IL32",4.02025939877417,"NOSIP",3.72388874092507,"#FFFF00"
"M2028.05","T","TRBC1",4.31778373270997,"CD3D",4.08279223537844,"#FFFF00"
"M2029.20","T","NOSIP",4.29542734961329,"CD3D",3.53388770800873,"#FFFF00"
"M2030.46","T","TRAC",5.10805654994356,"CD3D",4.1541396659467,"#FFFF00"
"M2031.06","T","TRAC",5.24697057394734,"TRBC2",4.14339035297208,"#FFFF00"
"M2032.71","T","TRAC",3.85610561039112,"CD3D",3.25204271246554,"#FFFF00"
"M2033.69","T","CD3D",3.52095840330079,"TRBC2",2.80264216590597,"#FFFF00"
"M2034.76","T","TRAC",3.53529171813976,"CD3D",3.22241924116166,"#FFFF00"
"M2035.54","T","IL7R",4.96227778822539,"TRBC2",4.05681637340947,"#FFFF00"
"M2036.82","T","TRBC1",4.91311897538908,"TRAC",4.46804342577379,"#FFFF00"
"M2037.73","T","TRAC",4.81358332658397,"NOSIP",3.81871270900563,"#FFFF00"
"M2038.66","T","TRAC",4.97067355837306,"CD3D",3.79029463248424,"#FFFF00"
"M2039.15","(Missing)","TRBC2",3.96564281888171,"NOSIP",3.46069681118912,NA
"M2040.82","T","TRAC",5.07204874112967,"TRBC1",4.77232431389635,"#FFFF00"
"M2041.89","T","TRBC1",4.90647903772826,"CD3D",3.71588830955819,"#FFFF00"
"M2042.11","T","TRBC1",4.60041075169875,"TRAC",4.44107497618549,"#FFFF00"
"M2043.89","T","IL7R",3.74935238110098,"CD3D",3.61456548487524,"#FFFF00"
"M2044.17","T","TRAC",4.56981314078237,"TRBC2",3.89103524867103,"#FFFF00"
"M2045.94","T","IL7R",4.82448931382225,"CD3D",3.50192205081212,"#FFFF00"
"M2046.70","T","TRAC",4.94516817566645,"CD3D",4.00192868002244,"#FFFF00"
"M2047.20","T","NOSIP",4.38832487882814,"TRBC2",3.89737291754222,"#FFFF00"
"M2048.02","T","CD3D",3.63797036830093,"TRAC",3.514601936538,"#FFFF00"
"M2049.76","T","IL7R",3.94836116289547,"CD3D",3.72425567448549,"#FFFF00"
"M2050.81","T","IL7R",5.06426041813564,"TRAC",4.72327646976177,"#FFFF00"
"M2051.82","T","TRAC",4.21413550361674,"IL32",3.50651615158927,"#FFFF00"
"M2052.37","T","IL7R",4.15970951426487,"CD3D",3.31736559319559,"#FFFF00"
"M2053.59","T","TRAC",4.32620418354226,"CD3D",3.84308015941681,"#FFFF00"
"M2054.29","T","IL7R",3.94428056105707,"TRBC2",3.61233827366961,"#FFFF00"
"M2055.79","T","TRAC",4.81658957169109,"CD3D",3.73798548563688,"#FFFF00"
"M2056.05","T","TRAC",4.58931938096947,"NOSIP",3.68980484796645,"#FFFF00"
"M2057.72","T","CD3D",3.38503128855662,"TRBC2",3.23520047276551,"#FFFF00"
"M2058.45","T","TRAC",4.94792742561815,"CD3D",3.97927767300606,"#FFFF00"
"M2059.42","T","CD8B",5.48063633337302,"CD3D",3.99343230555645,"#FFFF00"
"M2060.24","T","IL7R",4.39689107423272,"CD3D",3.32737339365531,"#FFFF00"
"M2061.05","T","CD3D",3.33533982511044,"IL7R",2.82471167071454,"#FFFF00"
"M2062.79","T","TRBC1",4.91192706140375,"TRAC",3.67375611293341,"#FFFF00"
"M2063.06","T","TRAC",4.33583205438757,"TRBC2",4.04161064187154,"#FFFF00"
"M2064.52","T","CD3D",3.31104429082318,"IL7R",2.96115115493947,"#FFFF00"
"M2065.44","T","TRBC1",4.20947689009437,"IL7R",3.7599878301553,"#FFFF00"
"M2066.87","T","TRAC",4.29450460790206,"CD3D",4.08178229566161,"#FFFF00"
"M2067.61","T","TRAC",4.2029775007469,"NOSIP",3.5279087752792,"#FFFF00"
"M2068.26","T","TRAC",3.8057622475734,"IL32",3.74905553398799,"#FFFF00"
"M2069.58","T","TRAC",5.0405602915025,"NOSIP",4.83499022705409,"#FFFF00"
"M2070.74","T","CD3D",3.68861238250422,"TRAC",3.37547974340537,"#FFFF00"
"M2071.74","T","IL7R",4.28319277667088,"CD3D",4.19602967855002,"#FFFF00"
"M2072.70","T","CD8B",5.02025993089335,"CD3D",3.79121627754554,"#FFFF00"
"M2073.69","T","TRAC",4.25226479138351,"CD3D",3.51169030465593,"#FFFF00"
"M2074.42","T","IL7R",4.46707068439777,"CD3D",3.93383653030467,"#FFFF00"
"M2075.20","T","CD7",3.53867356117112,"CD3D",3.32465109734937,"#FFFF00"
"M2076.51","T","CD3D",3.66845040460972,"CD8B",3.2855273976734,"#FFFF00"
"M2077.72","T","TRBC1",3.8642933679499,"CD3D",3.82494053362765,"#FFFF00"
"M2078.10","T","TRAC",4.29101581096564,"CD3D",3.5960127093249,"#FFFF00"
"M2079.31","T","TRAC",5.04600054005107,"CD3D",3.85538106100129,"#FFFF00"
"M2080.91","T","CD3D",3.73645827772053,"TRBC2",3.50170110929512,"#FFFF00"
"M2081.69","T","NOSIP",4.05208630446595,"CD3D",3.84684896229104,"#FFFF00"
"M2082.16","T","NOSIP",4.01102523767978,"IL7R",3.78633736825552,"#FFFF00"
"M2083.21","T","TRAC",4.13528845299884,"TRBC2",3.75919851108173,"#FFFF00"
"M2084.42","T","IL7R",4.63731382460329,"TRAC",4.60931677036437,"#FFFF00"
"M2085.99","T","CD3D",3.75400425817971,"TRAC",3.54382974094023,"#FFFF00"
"M2086.04","T","CD3D",3.75670957631201,"TRBC1",3.71232370677556,"#FFFF00"
"M2087.14","T","NOSIP",4.10161985347793,"CD3D",3.98493499044054,"#FFFF00"
"M2088.61","T","IL7R",4.40889076055213,"CD3D",3.22929654499396,"#FFFF00"
"M2089.99","T","C1orf56",4.49805497016722,"HNRNPH1",4.26712361766522,"#FFFF00"
"M2090.93","T","CD3D",3.03090218679956,"LEF1",2.41590312670834,"#FFFF00"
"M2091.55","T","IL32",3.63422479446713,"CD3D",3.53677204183064,"#FFFF00"
"M2092.11","T","TRAC",4.94532761249686,"CD3D",3.64752474729106,"#FFFF00"
"M2093.61","T","IL7R",4.41584817607023,"TRAC",4.37950924542958,"#FFFF00"
"M2094.87","T","TRAC",4.54758439489834,"TRBC2",3.87471743590943,"#FFFF00"
"M2095.12","T","CD3D",3.36106664109718,"IL7R",3.19547533565203,"#FFFF00"
"M2096.24","T","KLF6",3.46268737010863,"CD3D",3.07947083834198,"#FFFF00"
"M2097.11","T","CD3D",3.39202905075113,"TRAC",2.98553696945042,"#FFFF00"
"M2098.41","T","CD3D",3.20246402689395,"TRAC",2.65579561948334,"#FFFF00"
"M2099.68","T","TRAC",3.00441168934483,"CD3D",2.26432691142221,"#FFFF00"
"M2100.05","T","IL7R",2.55592601420274,"CD3D",2.53176565251436,"#FFFF00"
"M2101.13","T","TRAC",4.1457935286343,"IL7R",3.63655165224692,"#FFFF00"
"M2102.02","T","TRAC",4.61159289279333,"CD3D",3.67616337539364,"#FFFF00"
"M2103.89","T","TRBC2",3.58071096243008,"CD3D",3.55629282150554,"#FFFF00"
"M2104.89","T","TRAC",5.00946597555846,"IL32",3.68993910063288,"#FFFF00"
"M2105.16","T","TRBC1",4.89616228317699,"TRAC",3.50907913650401,"#FFFF00"
"M2106.64","T","CCL5",8.27580705364795,"TRAC",4.53948028055722,"#FFFF00"
"M2107.66","T","IL32",4.12054867383413,"CD3D",3.73836378327124,"#FFFF00"
"M2108.61","T","CD3D",2.91717044292362,"NOSIP",2.33767673162007,"#FFFF00"
"M2109.00","T","TRAC",4.35635637168735,"CD3D",3.48053443402903,"#FFFF00"
"M2110.28","T","IL7R",3.94600091440282,"CD3D",2.81593266295484,"#FFFF00"
"M2111.97","T","TRBC1",4.11698735884722,"IL7R",3.9962224420624,"#FFFF00"
"M2112.36","T","IL7R",3.31469458383884,"CD3D",2.95821810636406,"#FFFF00"
"M2113.49","T","SOCS3",3.8373348469121,"CD69",3.15766266881307,"#FFFF00"
"M2114.98","T","CD3D",3.32064797431178,"TRAC",2.73240946412365,"#FFFF00"
"M2115.15","T","IL32",4.3478878746412,"TRAC",4.02104215407164,"#FFFF00"
"M2116.18","T","TRAC",4.88553862426633,"CD3D",3.40649798662816,"#FFFF00"
"M2117.78","T","TRAC",4.63611389377619,"IL7R",3.46602458120118,"#FFFF00"
"M2118.91","T","KLRB1",4.89668938856053,"IL32",3.80220855989699,"#FFFF00"
"M2119.89","T","CD3D",3.02347538035775,"IL7R",2.9536036585938,"#FFFF00"
"M2120.38","T","CD3D",3.15178723594764,"FOXP1",3.12947914763415,"#FFFF00"
"M2121.24","T","CD3D",2.99264437171437,"IL7R",2.72260453356737,"#FFFF00"
"M2122.41","T","CD69",3.77691209570041,"CD3D",3.65527329779964,"#FFFF00"
"M2123.71","T","IL7R",4.49808294406989,"TRAC",3.99810084145894,"#FFFF00"
"M2124.82","T","IL7R",2.85085346116431,"FOXP1",2.62604017540515,"#FFFF00"
"M2125.12","T","IL32",3.86954099752738,"CD3D",3.56230950954854,"#FFFF00"
"M2126.50","T","IL7R",2.83030605845242,"CD3G",2.80258918383767,"#FFFF00"
"M2127.46","GMP","S100A9",10.4310862913438,"LYZ",9.95960931841,"#B4EEB4"
"M2128.72","GMP","LYZ",10.9425208200947,"S100A9",9.59804287919388,"#B4EEB4"
"M2129.41","GMP","LYZ",10.9153340448406,"S100A9",10.5181939438027,"#B4EEB4"
"M2130.74","monP1","LYZ",9.89478831462424,"CST3",8.92842303537242,"#6E8B3D"
"M2131.38","GMP","LYZ",10.5676082677407,"S100A9",10.0856159755073,"#B4EEB4"
"M2132.63","monP1","LYZ",10.6739515610397,"TYROBP",9.07094770649587,"#6E8B3D"
"M2133.13","GMP","S100A9",10.6688973600499,"S100A8",10.2459123349093,"#B4EEB4"
"M2134.82","GMP","LYZ",10.4819527141115,"S100A9",10.3395630048808,"#B4EEB4"
"M2135.84","monP1","LYZ",9.55143983184503,"CST3",9.13665334653234,"#6E8B3D"
"M2136.77","monP1","LYZ",9.92929158677603,"CST3",8.8401936469436,"#6E8B3D"
"M2137.47","monP1","LYZ",10.3017123841663,"TYROBP",9.06150601606613,"#6E8B3D"
"M2138.20","GMP","S100A9",10.8796551959324,"LYZ",10.7514192377355,"#B4EEB4"
"M2139.29","GMP","LYZ",10.3393284485362,"S100A9",9.86952507323301,"#B4EEB4"
"M2140.58","GMP","LYZ",10.8697703956538,"S100A9",9.82817156875631,"#B4EEB4"
"M2141.18","GMP","LYZ",10.6985622357695,"S100A9",9.65134516913751,"#B4EEB4"
"M2142.75","GMP","S100A9",11.5561047013211,"S100A8",11.5022603402671,"#B4EEB4"
"M2143.13","GMP","S100A9",9.6050791130708,"LYZ",9.37630013625601,"#B4EEB4"
"M2144.83","GMP","LYZ",10.2882046422976,"S100A9",9.45305814677226,"#B4EEB4"
"M2145.57","GMP","S100A9",10.2220798935762,"LYZ",10.2024078233461,"#B4EEB4"
"M2146.30","GMP","LYZ",10.4551690012759,"S100A9",9.43758405997364,"#B4EEB4"
"M2147.53","GMP","LYZ",10.5277649793518,"S100A9",9.18397309590447,"#B4EEB4"
"M2148.33","GMP","S100A9",11.2289284589495,"S100A8",10.6594793533128,"#B4EEB4"
"M2149.30","GMP","LYZ",10.8340121511859,"S100A9",9.63552435263535,"#B4EEB4"
"M2150.56","GMP","LYZ",10.4743329432155,"S100A9",10.4258814566058,"#B4EEB4"
"M2151.86","GMP","LYZ",10.9271489628191,"S100A9",10.2531542523221,"#B4EEB4"
"M2152.00","GMP","LYZ",9.96257352547239,"S100A9",9.83645755514492,"#B4EEB4"
